Governorate,District,Town,refArea_resource,EduResourceExists,VocationalInstitutes,Observation URI_resource,references_resource,publisher_resource,EduResourceMissing,LebaneseUniBranches,PublicSchoolCoverage,PublicSchools,Universities,PrivateUniBranches,dataset_resource,PrivateSchools,refArea_level,Illiteracy,SchoolDropout,Observation URI_level,references_level,University,publisher_level,Secondary,Intermediate,Vocational,Elementary,HigherEducation,dataset_level
Akkar Governorate,,Aain Ez-Zeit,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Ez-Zeit,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,3500,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1,https://dbpedia.org/page/Akkar_Governorate,20.0,2.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ez-Zeit,https://impact.cib.gov.lb/home#open_data_section,15.0,Impact Open Data,15.0,15.0,15.0,15.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
Akkar Governorate,,Aain Tinta,https://dbpedia.org/page/Akkar_Governorate,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Tinta,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,566,3,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,6,https://dbpedia.org/page/Akkar_Governorate,1.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Tinta,https://impact.cib.gov.lb/home#open_data_section,15.0,Impact Open Data,50.0,30.0,1.0,2.0,1.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
Akkar Governorate,,Aain Yaaqoub,https://dbpedia.org/page/Akkar_Governorate,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aain+Yaaqoub,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,3150,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,https://dbpedia.org/page/Akkar_Governorate,5.0,10.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Yaaqoub,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,20.0,15.0,20.0,15.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
Akkar Governorate,,Aaiyat,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aaiyat,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,6800,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,https://dbpedia.org/page/Akkar_Governorate,2.0,3.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaiyat,https://impact.cib.gov.lb/home#open_data_section,10.0,Impact Open Data,20.0,30.0,5.0,30.0,3.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
Akkar Governorate,,Aakkar El-Aatiqa,https://dbpedia.org/page/Akkar_Governorate,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aakkar+El-Aatiqa,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,4400,5,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,7,https://dbpedia.org/page/Akkar_Governorate,10.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aakkar+El-Aatiqa,https://impact.cib.gov.lb/home#open_data_section,15.0,Impact Open Data,20.0,20.0,10.0,20.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
Akkar Governorate,,Aamaret El-Baykat,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aamaret+El-Baykat,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,3000,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,https://dbpedia.org/page/Akkar_Governorate,5.0,8.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aamaret+El-Baykat,https://impact.cib.gov.lb/home#open_data_section,8.0,Impact Open Data,25.0,20.0,10.0,30.0,2.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
Akkar Governorate,,Aamayer,https://dbpedia.org/page/Akkar_Governorate,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aamayer,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,1500,5,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,https://dbpedia.org/page/Akkar_Governorate,6.0,1.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aamayer,https://impact.cib.gov.lb/home#open_data_section,5.0,Impact Open Data,12.0,22.0,10.0,45.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
Akkar Governorate,,Aandqet,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aandqet,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,1,https://dbpedia.org/page/Akkar_Governorate,1.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aandqet,https://impact.cib.gov.lb/home#open_data_section,30.0,Impact Open Data,15.0,20.0,10.0,20.0,4.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
Akkar Governorate,,Aaouaainat Aakkar,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-Aaouaainat+Aakkar,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,https://dbpedia.org/page/Akkar_Governorate,1.0,100.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaouaainat+Aakkar,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,15.0,20.0,12.0,20.0,12.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
Akkar Governorate,,Aaridet Cheikh Zennad,https://dbpedia.org/page/Akkar_Governorate,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Resources-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,Impact Open Data,0,0,2250,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Resources-Lebanon-2023,0,https://dbpedia.org/page/Akkar_Governorate,15.0,2.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,0.0,Impact Open Data,0.0,30.0,0.0,50.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
