refArea,Illiteracy,SchoolDropout,Observation URI,references,University,publisher,Secondary,Intermediate,Vocational,Elementary,HigherEducation,Town,dataset,Governorate,District
https://dbpedia.org/page/Mount_Lebanon_Governorate,2.0,2.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-+Bireh,https://impact.cib.gov.lb/home#open_data_section,15.0,Impact Open Data,15.0,30.0,10.0,25.0,3.0,Bireh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,
https://dbpedia.org/page/South_Governorate,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-A%27ain+El-Mir+%28El+Establ%29,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,A'Ain El-Mir (El Establ),http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,
https://dbpedia.org/page/Akkar_Governorate,15.0,2.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-AAridet+Cheikh+Zennad,https://impact.cib.gov.lb/home#open_data_section,0.0,Impact Open Data,0.0,30.0,0.0,50.0,5.0,Aaridet Cheikh Zennad,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Akkar Governorate,
https://dbpedia.org/page/North_Governorate,5.0,1.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaba,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,15.0,20.0,10.0,10.0,20.0,Aaba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,North Governorate,
http://dbpedia.org/resource/Baabda_District,3.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabadiyeh,https://impact.cib.gov.lb/home#open_data_section,17.0,Impact Open Data,30.0,20.0,3.0,17.0,10.0,Aabadiyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Mount Lebanon Governorate,Baabda District
http://dbpedia.org/resource/Byblos_District,2.0,2.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabaydat,https://impact.cib.gov.lb/home#open_data_section,18.0,Impact Open Data,50.0,18.0,2.0,10.0,0.0,Aabaydat,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Byblos District
https://dbpedia.org/page/Nabatieh_Governorate,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabba,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Aabba,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Nabatieh Governorate,
http://dbpedia.org/resource/Tyre_District,3.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabbesiyyi,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,20.0,30.0,20.0,5.0,2.0,Aabbesiyyi,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Tyre District
http://dbpedia.org/resource/Bsharri_District,2.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabdine,https://impact.cib.gov.lb/home#open_data_section,40.0,Impact Open Data,20.0,10.0,5.0,5.0,18.0,Aabdine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Bsharri District
http://dbpedia.org/resource/Sidon_District,5.0,50.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aabra+Saida,https://impact.cib.gov.lb/home#open_data_section,30.0,Impact Open Data,10.0,25.0,10.0,15.0,5.0,Aabra Saida,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Sidon District
